name,or_tools_cost
XML1000_2323_06,
XML1000_2371_26,
XML1000_2116_11,5543768.0
XML1000_3322_19,
XML1000_1334_02,
XML1000_2276_13,3563373.0
XML1000_2144_19,
XML1000_1366_22,6137119.0
XML1000_3225_04,7314414.0
XML1000_1234_16,
XML1000_2376_07,4833126.0
XML1000_2143_10,
XML1000_3325_10,
XML1000_2143_04,
XML1000_1266_22,5082308.0
XML1000_3325_04,8869229.0
XML1000_1234_02,
XML1000_3222_19,
XML1000_2111_24,
XML1000_2376_13,4702168.0
XML1000_3225_10,8262846.0
XML1000_1334_16,
XML1000_1153_21,
XML1000_2276_07,4085271.0
XML1000_3173_07,
XML1000_2315_07,
XML1000_3346_10,6566497.0
XML1000_3214_24,
XML1000_3341_19,
XML1000_2215_13,5072953.0
XML1000_3246_04,6732167.0
XML1000_1162_15,
XML1000_3246_10,6217684.0
XML1000_1162_01,
XML1000_2215_07,5566060.0
XML1000_3346_04,7078670.0
XML1000_3173_13,
XML1000_3314_24,
XML1000_1165_08,8004591.0
XML1000_3241_19,
XML1000_2172_24,
XML1000_2315_13,
XML1000_2212_26,
XML1000_3213_11,
XML1000_1165_20,9490939.0
XML1000_2175_05,7545033.0
XML1000_3313_05,
XML1000_3126_12,7816944.0
XML1000_3341_25,
XML1000_3214_18,
XML1000_3126_06,8016305.0
XML1000_2312_26,
XML1000_2175_11,
XML1000_3313_11,
XML1000_3174_26,
XML1000_3241_25,
XML1000_3314_18,
XML1000_2172_18,
XML1000_3213_05,
XML1000_2233_17,
XML1000_3232_20,
XML1000_1371_06,
XML1000_1144_11,
XML1000_1323_26,
XML1000_2333_03,
XML1000_3155_03,8975176.0
XML1000_1143_18,
XML1000_1271_12,
XML1000_2361_23,
XML1000_1223_26,
XML1000_2154_20,
XML1000_2333_17,
XML1000_3155_17,9087619.0
XML1000_3332_20,
XML1000_1271_06,
XML1000_1144_05,
XML1000_2261_23,
XML1000_2233_03,
XML1000_1371_12,
XML1000_1116_25,5021808.0
XML1000_3335_01,
XML1000_1276_27,4401071.0
XML1000_2153_01,
XML1000_2366_16,5909696.0
XML1000_1224_07,
XML1000_3235_15,
XML1000_1111_04,
XML1000_2234_22,
XML1000_2154_08,
XML1000_2266_02,5438558.0
XML1000_3332_08,
XML1000_1324_13,
XML1000_1143_24,
XML1000_2266_16,4422490.0
XML1000_1324_07,
XML1000_3235_01,8516332.0
XML1000_1111_10,
XML1000_1376_27,4369283.0
XML1000_2366_02,4538601.0
XML1000_1116_19,4684392.0
XML1000_1224_13,
XML1000_3232_08,
XML1000_3335_15,9332095.0
XML1000_3152_22,
XML1000_2334_22,
XML1000_2153_15,
XML1000_1143_26,
XML1000_1324_11,
XML1000_2234_20,
XML1000_3235_17,
XML1000_1111_06,
XML1000_1224_05,
XML1000_2366_14,6756608.0
XML1000_2261_09,
XML1000_2153_03,
XML1000_1323_18,
XML1000_3335_03,7313899.0
XML1000_1276_25,5506054.0
XML1000_2153_17,
XML1000_2334_20,
XML1000_3152_20,
XML1000_3335_17,8124152.0
XML1000_1224_11,
XML1000_2361_09,
XML1000_3235_03,10464120.0
XML1000_1223_18,
XML1000_1376_25,4802096.0
XML1000_1111_12,
XML1000_1324_05,
XML1000_2266_14,3912709.0
XML1000_2361_21,
XML1000_3155_01,8784133.0
XML1000_1271_10,
XML1000_2333_01,
XML1000_2334_08,
XML1000_1276_19,3953743.0
XML1000_1323_24,
XML1000_1144_13,
XML1000_3152_08,
XML1000_3232_22,
XML1000_1371_04,
XML1000_2233_15,
XML1000_1116_27,4704640.0
XML1000_1371_10,
XML1000_2233_01,
XML1000_2261_21,
XML1000_1144_07,
XML1000_3332_22,
XML1000_3155_15,9581155.0
XML1000_1271_04,
XML1000_2333_15,
XML1000_2154_22,
XML1000_2234_08,
XML1000_1376_19,6098185.0
XML1000_1223_24,
XML1000_3126_10,5888353.0
XML1000_3313_07,
XML1000_2175_07,6848789.0
XML1000_1165_22,9830059.0
XML1000_3213_13,
XML1000_3121_19,
XML1000_2212_24,
XML1000_3213_07,
XML1000_3174_24,
XML1000_3313_13,
XML1000_2175_13,
XML1000_2312_24,
XML1000_3126_04,8558900.0
XML1000_3246_06,6626929.0
XML1000_1162_17,
XML1000_2215_11,5613452.0
XML1000_3214_26,
XML1000_3121_25,
XML1000_3346_12,6452633.0
XML1000_2212_18,
XML1000_2315_05,
XML1000_3173_05,
XML1000_2315_11,5354507.0
XML1000_2172_26,
XML1000_3314_26,
XML1000_3173_11,
