Model,Type,Train Init Temp,Train Steps,Train Dimension,Train Demand,Train Scheduler,Train Clustering,Dimension,Step,Scheduler,Clustering,Initial Temp,Initial Cost,Final Cost,Gain
50_25000_cyclic_True_1,Baseline,/,/,/,/,/,/,50,25000,cyclic,True,1,25.416662216186523,9.075444221496582,16.34121799468994
50_25000_lam_True_1,Baseline,/,/,/,/,/,/,50,25000,lam,True,1,25.416662216186523,8.676807403564453,16.73985481262207
50_25000_step_True_1,Baseline,/,/,/,/,/,/,50,25000,step,True,1,25.416662216186523,9.70806884765625,15.708593368530272
50_100_cyclic_True_100,Baseline,/,/,/,/,/,/,50,100,cyclic,True,100,25.416662216186523,22.031003952026367,3.385658264160156
50_100_lam_True_100,Baseline,/,/,/,/,/,/,50,100,lam,True,100,25.416662216186523,19.721912384033203,5.69474983215332
50_100_step_True_100,Baseline,/,/,/,/,/,/,50,100,step,True,100,25.416662216186523,21.994361877441406,3.422300338745117
50_1000_cyclic_True_100,Baseline,/,/,/,/,/,/,50,1000,cyclic,True,100,25.416662216186523,11.9039888381958,13.512673377990724
50_1000_lam_True_100,Baseline,/,/,/,/,/,/,50,1000,lam,True,100,25.416662216186523,13.62770175933838,11.788960456848145
50_1000_step_True_100,Baseline,/,/,/,/,/,/,50,1000,step,True,100,25.416662216186523,17.3087215423584,8.107940673828125
50_25000_cyclic_True_100,Baseline,/,/,/,/,/,/,50,25000,cyclic,True,100,25.416662216186523,9.141579627990724,16.2750825881958
50_25000_lam_True_100,Baseline,/,/,/,/,/,/,50,25000,lam,True,100,25.416662216186523,9.277320861816406,16.139341354370117
50_25000_step_True_100,Baseline,/,/,/,/,/,/,50,25000,step,True,100,25.416662216186523,10.178933143615724,15.2377290725708
50_100_cyclic_True_1000,Baseline,/,/,/,/,/,/,50,100,cyclic,True,1000,25.416662216186523,22.02621078491211,3.390451431274414
50_100_lam_True_1000,Baseline,/,/,/,/,/,/,50,100,lam,True,1000,25.416662216186523,20.327198028564453,5.08946418762207
50_100_step_True_1000,Baseline,/,/,/,/,/,/,50,100,step,True,1000,25.416662216186523,22.159265518188477,3.257396697998047
50_1000_cyclic_True_1000,Baseline,/,/,/,/,/,/,50,1000,cyclic,True,1000,25.416662216186523,12.49309539794922,12.923566818237305
50_1000_lam_True_1000,Baseline,/,/,/,/,/,/,50,1000,lam,True,1000,25.416662216186523,14.001816749572754,11.41484546661377
50_1000_step_True_1000,Baseline,/,/,/,/,/,/,50,1000,step,True,1000,25.416662216186523,17.628196716308594,7.78846549987793
50_25000_cyclic_True_1000,Baseline,/,/,/,/,/,/,50,25000,cyclic,True,1000,25.416662216186523,9.112622261047363,16.30403995513916
50_25000_lam_True_1000,Baseline,/,/,/,/,/,/,50,25000,lam,True,1000,25.416662216186523,9.544217109680176,15.872445106506348
50_25000_step_True_1000,Baseline,/,/,/,/,/,/,50,25000,step,True,1000,25.416662216186523,10.266980171203612,15.14968204498291
/,OR_TOOLS 1 sec,/,/,/,/,/,/,50,/,/,False,/,29.457374572753903,10.43891143798828,19.018463134765625
50_100_cyclic_False_1,Baseline,/,/,/,/,/,/,50,100,cyclic,False,1,29.457374572753903,22.61708068847656,6.840293884277344
50_100_lam_False_1,Baseline,/,/,/,/,/,/,50,100,lam,False,1,29.457374572753903,21.966480255126953,7.490894317626953
50_100_step_False_1,Baseline,/,/,/,/,/,/,50,100,step,False,1,29.457374572753903,23.76323699951172,5.6941375732421875
50_1000_cyclic_False_1,Baseline,/,/,/,/,/,/,50,1000,cyclic,False,1,29.457374572753903,14.96609592437744,14.491278648376465
50_1000_lam_False_1,Baseline,/,/,/,/,/,/,50,1000,lam,False,1,29.457374572753903,15.691448211669922,13.765926361083984
50_1000_step_False_1,Baseline,/,/,/,/,/,/,50,1000,step,False,1,29.457374572753903,18.20783042907715,11.249544143676758
50_25000_cyclic_False_1,Baseline,/,/,/,/,/,/,50,25000,cyclic,False,1,29.457374572753903,12.387864112854004,17.069510459899902
50_25000_lam_False_1,Baseline,/,/,/,/,/,/,50,25000,lam,False,1,29.457374572753903,11.63137435913086,17.826000213623047
50_25000_step_False_1,Baseline,/,/,/,/,/,/,50,25000,step,False,1,29.457374572753903,12.889788627624512,16.567585945129395
50_100_cyclic_False_100,Baseline,/,/,/,/,/,/,50,100,cyclic,False,100,29.457374572753903,26.24959945678711,3.207775115966797
50_100_lam_False_100,Baseline,/,/,/,/,/,/,50,100,lam,False,100,29.457374572753903,24.126863479614254,5.330511093139648
50_100_step_False_100,Baseline,/,/,/,/,/,/,50,100,step,False,100,29.457374572753903,26.483657836914062,2.973716735839844
50_1000_cyclic_False_100,Baseline,/,/,/,/,/,/,50,1000,cyclic,False,100,29.457374572753903,15.760394096374512,13.696980476379396
